Force (N),Flex Raw ADC 1,Flex Voltage 1(V),Flex Resistance 1(Ohms),Flex Raw ADC 2,Flex Voltage 2(V),Flex Resistance 2(Ohms),Flex Raw ADC 3,Flex Voltage 3(V),Flex Resistance 3(Ohms),Load Cell Voltage (V),Load Cell Raw ADC,Location
1.026,6.0,0.029,9492000.0,51.0,0.249,1067294.125,354.0,1.73,105830.515,1.041,213.0,"(1,1)"
1.065,0.0,0.0,0.0,66.0,0.323,812000.0,346.0,1.691,109572.257,1.08,221.0,"(1,1)"
1.138,1.0,0.005,0.0,47.0,0.23,1162893.625,340.0,1.662,112494.125,1.153,236.0,"(1,1)"
1.143,0.0,0.0,0.0,56.0,0.274,967000.0,343.0,1.676,111020.421,1.158,237.0,"(1,1)"
1.153,5.0,0.024,11401600.0,62.0,0.303,868000.0,336.0,1.642,114500.0,1.168,239.0,"(1,1)"
1.187,13.0,0.064,4350769.0,42.0,0.205,1308000.0,372.0,1.818,98000.0,1.202,246.0,"(1,1)"
1.231,4.0,0.02,14266000.0,37.0,0.181,1492324.25,335.0,1.637,115008.96,1.246,255.0,"(1,1)"
1.246,13.0,0.064,4350769.0,57.0,0.279,949052.625,354.0,1.73,105830.515,1.261,258.0,"(1,1)"
1.266,0.0,0.0,0.0,50.0,0.244,1089760.0,339.0,1.657,112991.156,1.281,262.0,"(1,1)"
1.207,1.0,0.005,0.0,64.0,0.313,839125.0,332.0,1.623,116554.218,1.222,250.0,"(1,1)"
1.124,7.0,0.034,8128000.0,76.0,0.371,697789.5,337.0,1.647,113994.062,1.139,233.0,"(1,1)"
0.943,5.0,0.024,11401600.0,83.0,0.406,634216.875,341.0,1.667,112000.0,0.958,196.0,"(1,1)"
0.659,2.0,0.01,0.0,37.0,0.181,1492324.25,355.0,1.735,105374.64,0.674,138.0,"(1,1)"
0.493,0.0,0.0,0.0,21.0,0.103,2672000.0,365.0,1.784,100953.429,0.508,104.0,"(1,1)"
0.391,0.0,0.0,0.0,19.0,0.093,2959158.0,356.0,1.74,104921.343,0.406,83.0,"(1,1)"
0.288,20.0,0.098,2808400.0,5.0,0.024,11401600.0,367.0,1.794,100098.101,0.303,62.0,"(1,1)"
0.239,0.0,0.0,0.0,21.0,0.103,2672000.0,352.0,1.72,106750.0,0.254,52.0,"(1,1)"
0.21,8.0,0.039,7105000.0,29.0,0.142,1919448.375,359.0,1.755,103576.601,0.225,46.0,"(1,1)"
0.205,0.0,0.0,0.0,29.0,0.142,1919448.375,354.0,1.73,105830.515,0.22,45.0,"(1,1)"
0.181,0.0,0.0,0.0,20.0,0.098,2808400.0,352.0,1.72,106750.0,0.196,40.0,"(1,1)"
0.156,0.0,0.0,0.0,27.0,0.132,2065777.75,359.0,1.755,103576.601,0.171,35.0,"(1,1)"
0.102,2.0,0.01,0.0,0.0,0.0,0.0,346.0,1.691,109572.257,0.117,24.0,"(1,1)"
0.083,2.0,0.01,0.0,13.0,0.064,4350769.0,356.0,1.74,104921.343,0.098,20.0,"(1,1)"
0.063,7.0,0.034,8128000.0,30.0,0.147,1853600.125,362.0,1.769,102254.14,0.078,16.0,"(1,1)"
0.058,0.0,0.0,0.0,36.0,0.176,1535333.375,371.0,1.813,98415.093,0.073,15.0,"(1,1)"
0.063,4.0,0.02,14266000.0,76.0,0.371,697789.5,354.0,1.73,105830.515,0.078,16.0,"(1,1)"
0.063,22.0,0.108,2548000.0,110.0,0.538,464799.968,388.0,1.896,91649.484,0.078,16.0,"(1,1)"
0.058,19.0,0.093,2959158.0,111.0,0.543,460108.093,383.0,1.872,93577.031,0.073,15.0,"(1,1)"
0.068,24.0,0.117,2331000.0,109.0,0.533,469577.968,382.0,1.867,93968.585,0.083,17.0,"(1,1)"
0.058,19.0,0.093,2959158.0,116.0,0.567,437862.093,386.0,1.887,92414.507,0.073,15.0,"(1,1)"
0.053,25.0,0.122,2235520.0,97.0,0.474,534597.937,385.0,1.882,92800.0,0.068,14.0,"(1,1)"
0.058,22.0,0.108,2548000.0,113.0,0.552,450973.406,376.0,1.838,96361.695,0.073,15.0,"(1,1)"
0.063,27.0,0.132,2065777.75,117.0,0.572,433641.062,386.0,1.887,92414.507,0.078,16.0,"(1,1)"
0.053,28.0,0.137,1990000.0,121.0,0.591,417454.562,385.0,1.882,92800.0,0.068,14.0,"(1,1)"
0.068,38.0,0.186,1451579.0,61.0,0.298,883147.5,387.0,1.891,92031.007,0.083,17.0,"(1,1)"
0.063,28.0,0.137,1990000.0,121.0,0.591,417454.562,385.0,1.882,92800.0,0.078,16.0,"(1,1)"
0.058,33.0,0.161,1680000.0,117.0,0.572,433641.062,387.0,1.891,92031.007,0.073,15.0,"(1,1)"
0.058,34.0,0.166,1628941.125,123.0,0.601,409756.093,386.0,1.887,92414.507,0.073,15.0,"(1,1)"
0.063,33.0,0.161,1680000.0,126.0,0.616,398666.656,390.0,1.906,90892.304,0.078,16.0,"(1,1)"
0.053,33.0,0.161,1680000.0,120.0,0.587,421400.031,392.0,1.916,90142.867,0.068,14.0,"(1,1)"
0.058,23.0,0.112,2434782.75,136.0,0.665,365235.281,385.0,1.882,92800.0,0.073,15.0,"(1,1)"
0.063,35.0,0.171,1580800.0,127.0,0.621,395086.593,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.053,33.0,0.161,1680000.0,131.0,0.64,381313.0,389.0,1.901,91269.929,0.068,14.0,"(1,1)"
0.063,44.0,0.215,1246000.0,136.0,0.665,365235.281,392.0,1.916,90142.867,0.078,16.0,"(1,1)"
0.058,45.0,0.22,1217066.625,172.0,0.841,277069.781,386.0,1.887,92414.507,0.073,15.0,"(1,1)"
0.063,38.0,0.186,1451579.0,132.0,0.645,378000.0,386.0,1.887,92414.507,0.078,16.0,"(1,1)"
0.063,40.0,0.196,1376200.0,135.0,0.66,368355.531,388.0,1.896,91649.484,0.078,16.0,"(1,1)"
0.058,40.0,0.196,1376200.0,136.0,0.665,365235.281,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.058,40.0,0.196,1376200.0,124.0,0.606,406000.0,386.0,1.887,92414.507,0.073,15.0,"(1,1)"
0.058,39.0,0.191,1412923.125,138.0,0.674,359130.437,367.0,1.794,100098.101,0.073,15.0,"(1,1)"
0.063,42.0,0.205,1308000.0,139.0,0.679,356143.875,388.0,1.896,91649.484,0.078,16.0,"(1,1)"
0.063,50.0,0.244,1089760.0,141.0,0.689,350297.875,385.0,1.882,92800.0,0.078,16.0,"(1,1)"
0.058,34.0,0.166,1628941.125,141.0,0.689,350297.875,393.0,1.921,89771.0,0.073,15.0,"(1,1)"
0.058,40.0,0.196,1376200.0,138.0,0.674,359130.437,391.0,1.911,90516.625,0.073,15.0,"(1,1)"
0.058,45.0,0.22,1217066.625,148.0,0.723,331081.062,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.058,45.0,0.22,1217066.625,145.0,0.709,339089.656,387.0,1.891,92031.007,0.073,15.0,"(1,1)"
0.063,46.0,0.225,1189391.375,146.0,0.714,336383.593,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.058,47.0,0.23,1162893.625,147.0,0.718,333714.312,384.0,1.877,93187.5,0.073,15.0,"(1,1)"
0.053,45.0,0.22,1217066.625,142.0,0.694,347436.625,379.0,1.852,95155.679,0.068,14.0,"(1,1)"
0.058,48.0,0.235,1137500.0,148.0,0.723,331081.062,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.058,45.0,0.22,1217066.625,157.0,0.767,308891.718,391.0,1.911,90516.625,0.073,15.0,"(1,1)"
0.058,48.0,0.235,1137500.0,139.0,0.679,356143.875,386.0,1.887,92414.507,0.073,15.0,"(1,1)"
0.058,58.0,0.283,931724.187,151.0,0.738,323390.718,397.0,1.94,88302.257,0.073,15.0,"(1,1)"
0.058,49.0,0.239,1113142.875,150.0,0.733,325919.968,395.0,1.931,89032.921,0.073,15.0,"(1,1)"
0.063,49.0,0.239,1113142.875,152.0,0.743,320894.75,396.0,1.935,88666.671,0.078,16.0,"(1,1)"
0.058,52.0,0.254,1045692.312,152.0,0.743,320894.75,386.0,1.887,92414.507,0.073,15.0,"(1,1)"
0.063,50.0,0.244,1089760.0,162.0,0.792,297629.625,387.0,1.891,92031.007,0.078,16.0,"(1,1)"
0.058,37.0,0.181,1492324.25,147.0,0.718,333714.312,396.0,1.935,88666.671,0.073,15.0,"(1,1)"
0.058,56.0,0.274,967000.0,156.0,0.762,311230.781,383.0,1.872,93577.031,0.073,15.0,"(1,1)"
0.058,54.0,0.264,1004888.875,152.0,0.743,320894.75,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.058,50.0,0.244,1089760.0,157.0,0.767,308891.718,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.058,53.0,0.259,1024905.687,151.0,0.738,323390.718,396.0,1.935,88666.671,0.073,15.0,"(1,1)"
0.063,77.0,0.376,688000.0,159.0,0.777,304301.906,376.0,1.838,96361.695,0.078,16.0,"(1,1)"
0.053,51.0,0.249,1067294.125,156.0,0.762,311230.781,391.0,1.911,90516.625,0.068,14.0,"(1,1)"
0.063,52.0,0.254,1045692.312,156.0,0.762,311230.781,392.0,1.916,90142.867,0.078,16.0,"(1,1)"
0.058,52.0,0.254,1045692.312,156.0,0.762,311230.781,387.0,1.891,92031.007,0.073,15.0,"(1,1)"
0.058,54.0,0.264,1004888.875,160.0,0.782,302050.0,384.0,1.877,93187.5,0.073,15.0,"(1,1)"
0.073,68.0,0.332,786470.562,154.0,0.753,316000.0,372.0,1.818,98000.0,0.088,18.0,"(1,1)"
0.058,43.0,0.21,1276279.125,154.0,0.753,316000.0,406.0,1.984,85103.445,0.073,15.0,"(1,1)"
0.058,55.0,0.269,985599.937,158.0,0.772,306582.281,384.0,1.877,93187.5,0.073,15.0,"(1,1)"
0.063,66.0,0.323,812000.0,158.0,0.772,306582.281,387.0,1.891,92031.007,0.078,16.0,"(1,1)"
0.058,54.0,0.264,1004888.875,160.0,0.782,302050.0,384.0,1.877,93187.5,0.073,15.0,"(1,1)"
0.058,54.0,0.264,1004888.875,158.0,0.772,306582.281,385.0,1.882,92800.0,0.073,15.0,"(1,1)"
0.093,55.0,0.269,985599.937,152.0,0.743,320894.75,396.0,1.935,88666.671,0.108,22.0,"(1,1)"
0.053,59.0,0.288,914983.062,161.0,0.787,299826.093,388.0,1.896,91649.484,0.068,14.0,"(1,1)"
0.058,68.0,0.332,786470.562,160.0,0.782,302050.0,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.058,30.0,0.147,1853600.125,159.0,0.777,304301.906,390.0,1.906,90892.304,0.073,15.0,"(1,1)"
0.058,58.0,0.283,931724.187,162.0,0.792,297629.625,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.058,68.0,0.332,786470.562,162.0,0.792,297629.625,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.058,56.0,0.274,967000.0,161.0,0.787,299826.093,399.0,1.95,87578.945,0.073,15.0,"(1,1)"
0.063,59.0,0.288,914983.062,165.0,0.806,291200.0,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.073,66.0,0.323,812000.0,158.0,0.772,306582.281,366.0,1.789,100524.593,0.088,18.0,"(1,1)"
0.063,39.0,0.191,1412923.125,160.0,0.782,302050.0,396.0,1.935,88666.671,0.078,16.0,"(1,1)"
0.058,59.0,0.288,914983.062,163.0,0.797,295460.125,390.0,1.906,90892.304,0.073,15.0,"(1,1)"
0.063,61.0,0.298,883147.5,163.0,0.797,295460.125,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.058,54.0,0.264,1004888.875,165.0,0.806,291200.0,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.053,63.0,0.308,853333.312,162.0,0.792,297629.625,380.0,1.857,94757.898,0.068,14.0,"(1,1)"
0.058,78.0,0.381,678461.562,162.0,0.792,297629.625,377.0,1.843,95957.562,0.073,15.0,"(1,1)"
0.058,42.0,0.205,1308000.0,163.0,0.797,295460.125,403.0,1.97,86153.843,0.073,15.0,"(1,1)"
0.058,65.0,0.318,825353.812,166.0,0.811,289108.437,387.0,1.891,92031.007,0.073,15.0,"(1,1)"
0.063,66.0,0.323,812000.0,165.0,0.806,291200.0,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.058,59.0,0.288,914983.062,167.0,0.816,287041.937,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.058,60.0,0.293,898800.062,165.0,0.806,291200.0,387.0,1.891,92031.007,0.073,15.0,"(1,1)"
0.058,61.0,0.298,883147.5,171.0,0.836,279017.562,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.058,65.0,0.318,825353.812,168.0,0.821,285000.0,385.0,1.882,92800.0,0.073,15.0,"(1,1)"
0.063,70.0,0.342,762400.0,110.0,0.538,464799.968,382.0,1.867,93968.585,0.078,16.0,"(1,1)"
0.058,57.0,0.279,949052.625,169.0,0.826,282982.25,396.0,1.935,88666.671,0.073,15.0,"(1,1)"
0.058,58.0,0.283,931724.187,171.0,0.836,279017.562,400.0,1.955,87219.992,0.073,15.0,"(1,1)"
0.063,60.0,0.293,898800.062,170.0,0.831,280988.25,383.0,1.872,93577.031,0.078,16.0,"(1,1)"
0.058,59.0,0.288,914983.062,169.0,0.826,282982.25,394.0,1.926,89401.015,0.073,15.0,"(1,1)"
0.058,62.0,0.303,868000.0,166.0,0.811,289108.437,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.058,64.0,0.313,839125.0,167.0,0.816,287041.937,390.0,1.906,90892.304,0.073,15.0,"(1,1)"
0.058,63.0,0.308,853333.312,164.0,0.802,293317.062,391.0,1.911,90516.625,0.073,15.0,"(1,1)"
0.063,62.0,0.303,868000.0,172.0,0.841,277069.781,390.0,1.906,90892.304,0.078,16.0,"(1,1)"
0.058,99.0,0.484,522666.687,167.0,0.816,287041.937,409.0,1.999,84068.468,0.073,15.0,"(1,1)"
0.053,62.0,0.303,868000.0,172.0,0.841,277069.781,381.0,1.862,94362.203,0.068,14.0,"(1,1)"
0.063,63.0,0.308,853333.312,177.0,0.865,267661.031,390.0,1.906,90892.304,0.078,16.0,"(1,1)"
0.058,65.0,0.318,825353.812,182.0,0.89,258769.234,388.0,1.896,91649.484,0.073,15.0,"(1,1)"
0.058,68.0,0.332,786470.562,171.0,0.836,279017.562,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.058,60.0,0.293,898800.062,172.0,0.841,277069.781,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.058,64.0,0.313,839125.0,173.0,0.846,275144.5,397.0,1.94,88302.257,0.073,15.0,"(1,1)"
0.063,71.0,0.347,750873.25,170.0,0.831,280988.25,391.0,1.911,90516.625,0.078,16.0,"(1,1)"
0.053,66.0,0.323,812000.0,161.0,0.787,299826.093,389.0,1.901,91269.929,0.068,14.0,"(1,1)"
0.063,59.0,0.288,914983.062,154.0,0.753,316000.0,393.0,1.921,89771.0,0.078,16.0,"(1,1)"
0.058,66.0,0.323,812000.0,156.0,0.762,311230.781,398.0,1.945,87939.687,0.073,15.0,"(1,1)"
0.058,69.0,0.337,774260.875,172.0,0.841,277069.781,381.0,1.862,94362.203,0.073,15.0,"(1,1)"
0.063,62.0,0.303,868000.0,174.0,0.85,273241.375,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.058,70.0,0.342,762400.0,171.0,0.836,279017.562,393.0,1.921,89771.0,0.073,15.0,"(1,1)"
0.063,67.0,0.327,799044.812,171.0,0.836,279017.562,390.0,1.906,90892.304,0.078,16.0,"(1,1)"
0.063,67.0,0.327,799044.812,174.0,0.85,273241.375,390.0,1.906,90892.304,0.078,16.0,"(1,1)"
0.063,67.0,0.327,799044.812,178.0,0.87,265842.687,389.0,1.901,91269.929,0.078,16.0,"(1,1)"
0.058,72.0,0.352,739666.687,202.0,0.987,227603.953,393.0,1.921,89771.0,0.073,15.0,"(1,1)"
0.053,66.0,0.323,812000.0,194.0,0.948,239298.968,385.0,1.882,92800.0,0.068,14.0,"(1,1)"
0.063,84.0,0.411,626000.0,168.0,0.821,285000.0,380.0,1.857,94757.898,0.078,16.0,"(1,1)"
0.058,58.0,0.283,931724.187,162.0,0.792,297629.625,389.0,1.901,91269.929,0.073,15.0,"(1,1)"
0.068,54.0,0.264,1004888.875,157.0,0.767,308891.718,393.0,1.921,89771.0,0.083,17.0,"(1,1)"
0.083,70.0,0.342,762400.0,190.0,0.929,245515.796,386.0,1.887,92414.507,0.098,20.0,"(1,1)"
0.132,46.0,0.225,1189391.375,152.0,0.743,320894.75,387.0,1.891,92031.007,0.147,30.0,"(1,1)"
0.205,29.0,0.142,1919448.375,134.0,0.655,371522.406,384.0,1.877,93187.5,0.22,45.0,"(1,1)"
0.312,25.0,0.122,2235520.0,87.0,0.425,602482.75,392.0,1.916,90142.867,0.327,67.0,"(1,1)"
0.415,39.0,0.191,1412923.125,107.0,0.523,479401.906,395.0,1.931,89032.921,0.43,88.0,"(1,1)"
0.532,8.0,0.039,7105000.0,97.0,0.474,534597.937,394.0,1.926,89401.015,0.547,112.0,"(1,1)"
0.601,7.0,0.034,8128000.0,74.0,0.362,718162.125,400.0,1.955,87219.992,0.616,126.0,"(1,1)"
0.713,9.0,0.044,6309333.5,66.0,0.323,812000.0,396.0,1.935,88666.671,0.728,149.0,"(1,1)"
0.835,14.0,0.068,4036000.0,68.0,0.332,786470.562,385.0,1.882,92800.0,0.85,174.0,"(1,1)"
0.923,0.0,0.0,0.0,57.0,0.279,949052.625,386.0,1.887,92414.507,0.938,192.0,"(1,1)"
0.997,7.0,0.034,8128000.0,44.0,0.215,1246000.0,378.0,1.848,95555.554,1.012,207.0,"(1,1)"
1.114,0.0,0.0,0.0,27.0,0.132,2065777.75,368.0,1.799,99673.921,1.129,231.0,"(1,1)"
1.192,15.0,0.073,3763200.25,36.0,0.176,1535333.375,359.0,1.755,103576.601,1.207,247.0,"(1,1)"
1.285,3.0,0.015,19040000.0,20.0,0.098,2808400.0,363.0,1.774,101818.179,1.3,266.0,"(1,1)"
1.373,45.0,0.22,1217066.625,25.0,0.122,2235520.0,359.0,1.755,103576.601,1.388,284.0,"(1,1)"
1.402,11.0,0.054,5152000.0,23.0,0.112,2434782.75,346.0,1.691,109572.257,1.417,290.0,"(1,1)"
1.319,4.0,0.02,14266000.0,28.0,0.137,1990000.0,343.0,1.676,111020.421,1.334,273.0,"(1,1)"
1.041,7.0,0.034,8128000.0,36.0,0.176,1535333.375,356.0,1.74,104921.343,1.056,216.0,"(1,1)"
0.752,0.0,0.0,0.0,35.0,0.171,1580800.0,363.0,1.774,101818.179,0.767,157.0,"(1,1)"
0.591,0.0,0.0,0.0,1.0,0.005,0.0,375.0,1.833,96767.992,0.606,124.0,"(1,1)"
0.425,0.0,0.0,0.0,13.0,0.064,4350769.0,374.0,1.828,97176.468,0.44,90.0,"(1,1)"
0.337,12.0,0.059,4718000.0,12.0,0.059,4718000.0,379.0,1.852,95155.679,0.352,72.0,"(1,1)"
0.21,0.0,0.0,0.0,2.0,0.01,0.0,391.0,1.911,90516.625,0.225,46.0,"(1,1)"
0.166,5.0,0.024,11401600.0,10.0,0.049,5672800.0,383.0,1.872,93577.031,0.181,37.0,"(1,1)"
0.122,0.0,0.0,0.0,5.0,0.024,11401600.0,380.0,1.857,94757.898,0.137,28.0,"(1,1)"
